window_size,trial,seconds
1,1,18.093260399997234
1,2,18.069066099997144
1,3,21.42686030000914
1,4,14.561467099993024
1,5,15.267214400024386
2,1,10.00095890002558
2,2,10.612105899985181
2,3,10.288624199980404
2,4,11.155155799991917
2,5,11.152567700017244
4,1,7.910155999998096
4,2,7.511263099993812
4,3,7.927907799981767
4,4,9.27546119998442
4,5,6.829978199995821
8,1,4.057912300020689
8,2,5.1962438999908045
8,3,5.700450999982422
8,4,6.178637600009097
8,5,4.285051299986662
16,1,3.7806970000092406
16,2,3.1625879000057466
16,3,3.054410700016888
16,4,4.055617399979383
16,5,4.339433300017845
32,1,3.6654643999936525
32,2,2.48873289997573
32,3,3.3437108999933116
32,4,2.0629179000097793
32,5,2.7769800000241958
64,1,1.4562393999949563
64,2,1.268350800004555
64,3,2.017159500013804
64,4,1.534906700020656
64,5,1.290721500001382
128,1,0.8784098000032827
128,2,1.3353149000031408
128,3,1.5368853000109084
128,4,0.9110400000063237
128,5,0.9899936000001617
256,1,0.6265623999934178
256,2,0.6256862000154797
256,3,1.2344347000180278
256,4,0.8889235999959055
256,5,0.8829748000134714
512,1,0.5757181000080891
512,2,0.6116298999986611
512,3,0.32325289997970685
512,4,0.8839099000033457
512,5,0.6888791999954265
1024,1,0.4996226000075694
1024,2,0.4609090999874752
1024,3,0.4857653999933973
1024,4,0.4621104999969248
1024,5,0.5884943000273779
